,#,participant_id,crystallised intelligence
142,143,sub-380036,246.69
143,144,sub-386250,245.26999999999998
144,145,sub-387959,209.672
145,146,sub-390645,221.03045
146,147,sub-391748,191.08594
147,148,sub-397154,263.88
148,149,sub-397861,243.41840000000002
149,150,sub-401422,222.0879
150,151,sub-414229,201.68
151,152,sub-422632,220.36
152,153,sub-424939,247.4512
153,154,sub-432332,215.0011
154,155,sub-463040,228.6951
155,156,sub-469961,221.6295
156,157,sub-481042,197.19398999999999
157,158,sub-486759,218.11
158,159,sub-499566,255.27
159,160,sub-513736,262.7624
160,161,sub-519950,198.93
161,162,sub-522434,213.31
162,163,sub-524135,192.51638
163,164,sub-529549,176.03676000000002
164,165,sub-530635,238.25
165,166,sub-531536,242.8
166,167,sub-541640,281.7643
167,168,sub-549757,178.26999999999998
168,169,sub-550439,195.85099
169,170,sub-553344,242.1634
170,171,sub-555651,212.28320000000002
171,172,sub-562345,208.00650000000002
172,173,sub-572045,197.76323
173,174,sub-580347,183.39
174,175,sub-583858,180.72
175,176,sub-586460,195.09
176,177,sub-594156,215.2068
177,178,sub-609143,252.94459999999998
178,179,sub-611938,253.9053
179,180,sub-614439,264.6499
180,181,sub-622236,221.8235
181,182,sub-623844,205.29000000000002
182,183,sub-627549,190.88
183,184,sub-628248,234.4178
184,185,sub-633847,238.4974
185,186,sub-644246,209.86349
186,187,sub-654754,162.74
187,188,sub-664757,166.69977
188,189,sub-665254,199.56
189,190,sub-668361,216.21293
190,191,sub-675661,209.04712
191,192,sub-679568,224.449
192,193,sub-679770,182.9202
193,194,sub-680250,235.8403
194,195,sub-693764,233.1001
195,196,sub-698168,235.28050000000002
196,197,sub-707749,207.16156
197,198,sub-723141,243.90609999999998
198,199,sub-729557,210.18
199,200,sub-732243,233.66
200,201,sub-737960,248.9139
201,202,sub-749361,230.62
202,203,sub-751348,247.56
203,204,sub-756055,189.11
204,205,sub-761957,234.22
205,206,sub-770352,203.18
206,207,sub-773257,231.149
207,208,sub-788674,207.10550999999998
208,209,sub-802844,156.56038
209,210,sub-815247,245.67219999999998
210,211,sub-826353,242.06
211,212,sub-826454,257.5236
212,213,sub-828862,239.53300000000002
213,214,sub-841349,221.1755
214,215,sub-849264,222.50191999999998
215,216,sub-859671,216.6
216,217,sub-872158,235.14
217,218,sub-882161,196.8708
218,219,sub-884064,231.37740000000002
219,220,sub-885975,237.75
220,221,sub-886674,250.5962
221,222,sub-889579,232.88
222,223,sub-894067,208.26073
223,224,sub-894774,276.8928
224,225,sub-896778,212.05
225,226,sub-901442,234.18349999999998
226,227,sub-910241,218.95
227,228,sub-919966,176.82788
228,229,sub-922854,198.79771
229,230,sub-929464,206.04552999999999
230,231,sub-933253,231.2516
231,232,sub-942658,232.1884
232,233,sub-955465,183.99918
233,234,sub-958976,221.56
234,235,sub-973770,182.60237
235,236,sub-984472,248.56
236,237,sub-987074,219.2947
237,238,sub-992774,181.32999999999998
238,239,sub-993675,265.1385
239,240,sub-994273,244.79840000000002
240,241,sub-996782,268.6427
